facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1000726,2011,Clark,NV,LAS VEGAS,Clark,36.0875,-115.0507,BERKSHIRE HATHAWAY INC,1.0,159977.50604,159977.50604,49910.761345485,1.0,87654.36,925742.169,True,,,,False,2,False
1000565,2011,Cleveland County Generating Facility,NC,Grover,Cleveland,35.1706,-81.4161,THE SOUTHERN CO,1.0,,,,,,,False,,,,False,0,True
1000832,2011,Cliffside,NC,CLIFFSIDE,Cleveland,35.22,-81.7594,DUKE ENERGY CORP,1.0,2327522.234,2327522.234,2308115.36811138,1.0,2848139.92,24797873.847,True,,,,False,2,False
1001531,2011,Clifty Creek,IN,MADISON,Jefferson,38.7383,-85.4192,AMERICAN ELECTRIC POWER CO INC,1.0,7279634.594,7279634.594,7222146.066857146,1.0,8576343.61,75906307.022,True,,,,False,2,False
1007359,2011,Clinch River,VA,CLEVELAND,Russell,36.9333,-82.1997,AMERICAN ELECTRIC POWER CO INC,1.0,1323028.052,1323028.052,1312642.9170732,1.0,1433769.11,13796181.42,True,,,,False,2,False
1001093,2011,Clover Power Station,VA,CLOVER,Halifax,36.8692,-78.7046,DOMINION ENERGY INC,0.5,5274014.96,2637007.48,5234403.959650844,1.0,5613213.23,56237272.951,True,,,,False,2,False
1007429,2011,Coal Creek,ND,UNDERWOOD,Mclean,47.3761,-101.1567,REMC ASSETS LP,1.0,8953957.29,8953957.29,8884671.826203585,1.0,9246480.69,89957428.055,True,,,,False,2,False
1007829,2011,Colbert,AL,TUSCUMBIA,Colbert,34.7439,-87.8486,US GOVERNMENT,1.0,4745824.006,4745824.006,4716132.435924031,1.0,5194436.74,50572718.373,True,,,,False,2,False
1001038,2011,Coleto Creek,TX,FANNIN,Goliad,28.7128,-97.2142,Vistra Corp,1.0,3901237.03,3901237.03,3880731.1179873,1.0,4287146.69,40787318.789,True,,,,False,2,False
1013024,2011,Colorado Bend II,TX,Wharton,WHARTON COUNTY,29.2878,-96.0683,CONSTELLATION ENERGY CORP,1.0,,,,,,,False,,,,False,0,False
1001020,2011,Colstrip,MT,COLSTRIP,Rosebud,45.8831,-106.614,BERKSHIRE HATHAWAY INC,0.071,14096357.398,1000841.375258,13991274.837085094,1.0,14285286.7,147051297.78899997,True,,,,False,2,False
1001020,2011,Colstrip,MT,COLSTRIP,Rosebud,45.8831,-106.614,PUGET HOLDINGS LLC,0.3229999999999999,14096357.398,4553123.439553999,13991274.837085094,1.0,14285286.7,147051297.78899997,True,,,,False,2,False
1001020,2011,Colstrip,MT,COLSTRIP,Rosebud,45.8831,-106.614,TALEN ENERGY CORP,0.252,14096357.398,3552282.064296,13991274.837085094,1.0,14285286.7,147051297.78899997,True,,,,False,2,False
1001186,2011,Columbia,WI,PARDEEVILLE,Columbia,43.4864,-89.4203,ALLIANT ENERGY CORP,0.535,7267381.824,3888049.27584,7210336.570209615,1.0,7407082.01,75782221.21700001,True,,,,False,2,False
1006999,2011,Columbia Energy Center (SC),SC,GASTON,Calhoun,33.8692,-81.0183,DOMINION ENERGY INC,1.0,159194.104,159194.104,62921.842669215,1.0,178915.28,2979749.3370000003,True,,,,False,2,False
1001462,2011,Comanche (470),CO,PUEBLO,Pueblo,38.2081,-104.5747,XCEL ENERGY INC,0.8254,7242373.91,5977855.425314,7204664.14107813,1.0,8155194.5,76366782.289,True,,,,False,2,False
1001191,2011,Comanche (8059),OK,LAWTON,Comanche,34.5431,-98.3244,AMERICAN ELECTRIC POWER CO INC,1.0,393758.04,393758.04,393354.06792309,1.0,504728.34,7296273.053,True,,,,False,2,False
1001086,2011,Concord,WI,WATERTOWN,Jefferson,43.1669,-88.69,WEC Energy Group Inc,1.0,18301.272,18301.272,18280.67042004,1.0,24931.09,335015.882,True,,,,False,2,False
1000877,2011,Conemaugh,PA,NEW FLORENCE,Indiana,40.3842,-79.0611,TALEN ENERGY CORP,0.2221999999999999,9783340.014,2173858.1511108,9700088.10080871,1.0,11549854.66,104234717.294,True,,,,False,2,False
1007962,2011,Coolidge Generating Station,AZ,Randolph,Pinal,32.9175,-111.5041,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,1.0,76591.616,76591.616,76481.82081312,1.0,150146.56,1418572.937,True,,,,False,2,False
1001092,2011,Cope Station,SC,COPE,Orangeburg,33.3642,-81.03,DOMINION ENERGY INC,1.0,2055484.648,2055484.648,2038280.50540122,1.0,2608039.7,21898806.283,True,,,,False,2,False
1001354,2011,Cordova Energy Company,IL,CORDOVA,Rock Island,41.7146,-90.2802,BERKSHIRE HATHAWAY INC,0.911,9570.216,8718.466776,8842.893742515,1.0,20070.19,164012.91,True,,,,False,2,False
1007103,2011,Coronado Generating Station,AZ,ST JOHNS,Apache,34.5778,-109.2717,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,1.0,6030449.386,6030449.386,5982482.022683535,1.0,6187806.359999999,62877093.524,True,,,,False,2,False
