State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
TX,Lake Hubbard,3452,1,2313,,2012,1199,1061.02,77495.7,,0.331,0.001,64417.629,0.0591,74.112,0.1183,1083853.929,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CAIRNOX, CAIRSO2"
TX,Lake Hubbard,3452,2,2314,,2012,1449,1284.02,126390.36,,0.467,0.001,90827.991,0.0591,10.808,0.0145,1528176.806,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,,,"ARP, CAIRNOX, CAIRSO2"
TX,Mountain Creek Generating Station,3453,6,2318,,2012,1233,1149.1,39537.04,,0.16,0.001,31784.226,0.0593,23.482,0.0652,534814.269,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Combustion Modification/Fuel Reburning,,,"ARP, CAIRNOX, CAIRSO2"
TX,Mountain Creek Generating Station,3453,7,2319,,2012,2171,2025.27,79299.58,,0.297,0.001,58824.98,0.0593,77.61,0.1111,989799.531,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Combustion Modification/Fuel Reburning,,,"ARP, CAIRNOX, CAIRSO2"
TX,Mountain Creek Generating Station,3453,8,2320,,2012,2958,2942.7,756624.38,,2.426,0.001,480611.395,0.059,64.572,0.0132,8087460.41,Pipeline Natural Gas,,Tangentially-fired,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,1,2329,,2012,6471,6451.78,263801.72,,0.9,0.001,178306.56,0.0592,269.658,0.1771,3000318.903,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,2,2330,,2012,6325,6305.22,308651.52,,1.029,0.001,197807.58,0.0591,342.93,0.198,3328456.627,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,3,2331,,2012,6854,6844.88,388307.69,,1.223,0.001,237588.058,0.0591,274.627,0.1356,3997904.58,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,**4,2327,,2012,7533,7523.41,356367.3,,1.57,0.001,310938.883,0.059,464.912,0.1902,5232406.742,Pipeline Natural Gas,,Combined cycle,,Water Injection,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,**5,2328,,2012,5075,5050.97,205483.63,,0.907,0.001,179555.189,0.0591,266.765,0.1879,3021046.32,Pipeline Natural Gas,,Combined cycle,,Water Injection,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,GT-6A,91266,,2012,6145,6092.06,806151.22,,1.691,0.001,334993.518,0.059,73.411,0.0286,5636756.909,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CAIRNOX, CAIRSO2"
TX,Newman Power Station,3456,GT-6B,91267,,2012,5690,5633.22,306781.7,,1.485,0.001,294088.827,0.059,39.061,0.0211,4949195.977,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CAIRNOX, CAIRSO2"
TX,Lewis Creek,3457,1,2332,,2012,6271,6262.92,691448.1,,2.34,0.001,463598.746,0.059,71.699,0.0188,7800967.067,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Lewis Creek,3457,2,2333,,2012,6616,6609.11,855551.17,,2.89,0.001,572373.973,0.059,106.892,0.0228,9632152.418,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Sabine,3459,1,2338,,2012,6790,6778.84,514148.43,,1.665,0.001,329777.507,0.059,474.222,0.163,5549083.243,Pipeline Natural Gas,,Tangentially-fired,,,,,"ARP, CAIRNOX, CAIRSO2"
TX,Sabine,3459,2,2339,,2012,5545,5540.42,380821.18,,1.228,0.001,243250.533,0.0591,281.517,0.1419,4093104.003,Pipeline Natural Gas,,Tangentially-fired,,"Combustion Modification/Fuel Reburning (Began Apr 01, 2012)",,,"ARP, CAIRNOX, CAIRSO2"
TX,Sabine,3459,3,2340,,2012,6249,6245.61,738518.86,,2.416,0.001,478581.152,0.059,579.341,0.145,8052992.146,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,,,"ARP, CAIRNOX, CAIRSO2"
TX,Sabine,3459,4,2341,,2012,5285,5276.19,1450897.61,,4.379,0.001,867480.177,0.059,927.041,0.1173,14597002.346,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CAIRNOX, CAIRSO2"
TX,Sabine,3459,5,2342,,2012,8502,8498.53,848603.64,,3.058,0.001,605784.714,0.059,437.372,0.0819,10193425.094,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,,,"ARP, CAIRNOX, CAIRSO2"
TX,Cedar Bayou,3460,CBY1,2343,,2012,2601,2575.39,802836.21,,2.369,0.001,469234.778,0.059,225.498,0.0442,7895822.297,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
TX,Cedar Bayou,3460,CBY2,2344,,2012,1968,1947.93,506517.96,,1.684,0.001,333660.883,0.059,127.812,0.0359,5614468.373,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIRSO2"
